Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-24 00:27:45.260017-0500 0x5b1      Default     0x0                  243    7    ARDAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:45.260103-0500 0x5b1      Default     0x0                  243    7    ARDAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:45.317244-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:45.317306-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:45.365950-0500 0x237      Default     0x0                  1      0    launchd: [pid/140 [launchservicesd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:45.458420-0500 0x5b1      Default     0x0                  243    7    ARDAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:45.902188-0500 0x671      Default     0x0                  0      0    kernel: (IOgPTPPlugin)   IOTimeSyncTimeSyncTimePort(0xf4ee08de98850008): Has Ethernet HW Timestamps: false
2026-04-24 00:27:45.902190-0500 0x671      Default     0x0                  0      0    kernel: (IOgPTPPlugin)   IOTimeSyncTimeSyncTimePort(0xf4ee08de98850008): Has WiFi HW Timestamps: false
2026-04-24 00:27:46.321856-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:46.321908-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:46.324977-0500 0x6ac      Default     0x0                  271    7    UVCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:46.325043-0500 0x6ac      Default     0x0                  271    7    UVCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:46.325193-0500 0x6ac      Default     0x0                  271    7    UVCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:46.325241-0500 0x6ac      Default     0x0                  271    7    UVCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:46.577987-0500 0x238      Default     0x0                  1      0    launchd: [pid/208 [nsurlsessiond]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:46.579210-0500 0x238      Default     0x0                  1      0    launchd: [user/242/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-24 00:27:46.579213-0500 0x238      Default     0x0                  1      0    launchd: [user/242/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-24 00:27:46.618042-0500 0x2a2      Default     0x0                  1      0    launchd: [pid/109 [accessoryupdate]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:46.619676-0500 0x2a2      Default     0x0                  1      0    launchd: [user/278/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-24 00:27:46.619678-0500 0x2a2      Default     0x0                  1      0    launchd: [user/278/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-24 00:27:46.650678-0500 0x5fe      Default     0x0                  232    2    mobileassetd: (libmobileassetd.dylib) [com.apple.mobileassetd:Notice] finishPartiallyPurgedAssets: {finishPartiallyPurgedAssets} successful purged cleanup | path:/System/Library/AssetsV2/com_apple_MobileAsset_VoiceTriggerAssetsStudioDisplay/com_apple_MobileAsset_VoiceTriggerAssetsStudioDisplay.xml.purged | depth:0
2026-04-24 00:27:47.328451-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:47.328578-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:48.334370-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:48.334447-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:49.344725-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:49.344799-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:50.355066-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:50.355176-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:51.249306-0500 0x79       Default     0x0                  0      0    kernel: PMRD: IODisplayWrangler tag flags 100
2026-04-24 00:27:51.249432-0500 0x79       Default     0x0                  0      0    kernel: PMRD: Added IODisplayWrangler to idle sleep preventers list (Total 1)
2026-04-24 00:27:51.249435-0500 0x79       Default     0x0                  0      0    kernel: PMRD: Idle Sleep Preventers: IODisplayWrangler
gpu 0x6340       agdc 0x000000000 
2026-04-24 00:27:51.365412-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:51.365474-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:51.808509-0500 0x31c      Default     0x0                  107    7    systemstats: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:51.808614-0500 0x31c      Default     0x0                  107    7    systemstats: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:52.373479-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:52.373548-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
gpu 0x6340       agdc 0x000000000 
2026-04-24 00:27:52.423267-0500 0x732      Default     0x0                  223    0    contextstored: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:52.423368-0500 0x732      Default     0x0                  223    0    contextstored: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:52.435138-0500 0x303      Default     0x0                  139    0    apsd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:52.445361-0500 0x72e      Default     0x0                  286    7    PowerChime: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:52.445840-0500 0x72e      Default     0x0                  286    7    PowerChime: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:52.454583-0500 0x72e      Default     0x0                  286    7    PowerChime: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:52.911910-0500 0x238      Default     0x0                  1      0    launchd: [pid/227 [storagekitd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:52.953479-0500 0x237      Default     0x0                  1      0    launchd: [pid/296 [softwareupdated]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:53.066980-0500 0x2a2      Default     0x0                  1      0    launchd: [pid/299 [suhelperd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:53.186415-0500 0x72e      Default     0x0                  286    7    PowerChime: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.186483-0500 0x72e      Default     0x0                  286    7    PowerChime: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.186542-0500 0x72e      Default     0x0                  286    7    PowerChime: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.375652-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.375765-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.571372-0500 0x7ff      Default     0x0                  227    0    storagekitd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.571603-0500 0x801      Default     0x0                  227    0    storagekitd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.573508-0500 0x7fe      Default     0x0                  227    0    storagekitd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.577635-0500 0x755      Default     0x0                  227    0    storagekitd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.580831-0500 0x800      Default     0x0                  227    0    storagekitd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:53.600910-0500 0x777      Default     0x0                  129    0    kernelmanagerd: Received kext load notification: com.apple.AGDCPluginDisplayMetrics
2026-04-24 00:27:53.600924-0500 0x777      Default     0x0                  129    0    kernelmanagerd: Received kext load notification: com.apple.driver.AppleGraphicsControl
2026-04-24 00:27:53.970065-0500 0x802      Default     0x0                  227    0    storagekitd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:54.033697-0500 0x7fc      Default     0x0                  227    0    storagekitd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:54.077833-0500 0x7fc      Default     0x0                  227    0    storagekitd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:54.140056-0500 0x303      Default     0x0                  139    0    apsd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:54.376890-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:54.376977-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:55.386018-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:55.386105-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:56.045400-0500 0x339      Default     0x0                  166    7    WindowServer: (SkyLight) [com.apple.SkyLight:default] Session 257 retained (2 references)
2026-04-24 00:27:56.045402-0500 0x339      Default     0x0                  166    7    WindowServer: (SkyLight) [com.apple.SkyLight:default] Session 257 released (1 references)
2026-04-24 00:27:56.045593-0500 0x339      Default     0x0                  166    0    WindowServer: [com.apple.libsystem.libdispatch:] DEPRECATED USE in libdispatch client: dispatch source activated with no event handler set; set a breakpoint on _dispatch_bug_deprecated to debug
2026-04-24 00:27:56.045620-0500 0x339      Default     0x0                  166    7    WindowServer: (SkyLight) [com.apple.SkyLight:default] Session 257; WS port 2703, launchd-launched workspace/session manager
2026-04-24 00:27:56.053181-0500 0x849      Default     0x0                  166    0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x7fe08c904cc0] activating connection: mach=true listener=false peer=false name=com.apple.systemstatus
2026-04-24 00:27:56.053870-0500 0x849      Error       0x0                  166    0    WindowServer: (CoreFoundation) [com.apple.defaults:User Defaults] All kCFPreferencesCurrentUser domains in this process will be volatile, because homeDirPath starts with /var/empty
2026-04-24 00:27:56.053921-0500 0x849      Default     0x0                  166    0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x60000208c0f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-04-24 00:27:56.059915-0500 0x45c      Default     0x444                145    0    locationd: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
